Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Chi,Esito,Field Position,Squadra,Piede,Casella di gruppo
Palla recuperata (21),1:07:52.866,0:00:10.000,06/01/2025,Palla recuperata,bara,deba,mattia,scanta,zanna,deba,Costruzione,0,,,
Laterale (45),1:08:07.766,0:00:07.000,06/01/2025,Laterale,bara,deba,mattia,scanta,zanna,,,0,Noi,,
Laterale (46),1:08:25.866,0:00:07.000,06/01/2025,Laterale,,deba,mattia,scanta,zanna,,,4,Noi,,
Tiro (24),1:08:27.266,0:00:07.000,06/01/2025,Tiro,,deba,mattia,scanta,zanna,mattia,Ribattuto,1,Noi,Sx,
Angolo (8),1:08:58.000,0:00:08.000,06/01/2025,Angolo,,deba,mattia,scanta,zanna,,,,Noi,,
Tiro (25),1:08:58.066,0:00:07.000,06/01/2025,Tiro,,deba,mattia,scanta,zanna,zanna,Fuori,2,Noi,Dx,
Laterale (47),1:09:10.466,0:00:07.000,06/01/2025,Laterale,,deba,mattia,scanta,zanna,,,0,Loro,,
Palla persa (24),1:09:30.000,0:00:10.000,06/01/2025,Palla persa,,deba,mattia,scanta,zanna,zanna,Fuori,0,,,
Laterale (48),1:09:40.066,0:00:07.000,06/01/2025,Laterale,,deba,mattia,scanta,zanna,,,0,Loro,,
Tiro (26),1:10:14.266,0:00:07.000,06/01/2025,Tiro,,deba,mattia,scanta,zanna,deba,Ribattuto,8,Loro,Dx,
Angolo (9),1:10:29.433,0:00:08.000,06/01/2025,Angolo,,deba,mattia,scanta,zanna,,,,Loro,,
Palla recuperata (22),1:10:33.633,0:00:10.000,06/01/2025,Palla recuperata,,deba,mattia,scanta,zanna,deba,,0,,,
Laterale (49),1:10:49.800,0:00:07.000,06/01/2025,Laterale,bara,ricky,nic,scanta,digao,,,0,Noi,,
Laterale (50),1:11:04.433,0:00:07.000,06/01/2025,Laterale,bara,ricky,nic,scanta,digao,,,6,Noi,,
Angolo (10),1:11:23.100,0:00:08.000,06/01/2025,Angolo,bara,ricky,nic,scanta,digao,,,,Noi,,
Palla persa (25),1:11:25.933,0:00:10.000,06/01/2025,Palla persa,bara,ricky,nic,scanta,digao,nic,Ripartenza,0,,,
Palla recuperata (23),1:11:30.166,0:00:10.000,06/01/2025,Palla recuperata,bara,ricky,nic,scanta,digao,digao,Costruzione,0,,,
Palla persa (26),1:11:39.800,0:00:10.000,06/01/2025,Palla persa,bara,ricky,nic,scanta,digao,nic,Ripartenza,0,,,
3v2 (9),1:11:42.300,0:00:10.000,06/01/2025,,bara,ricky,nic,scanta,digao,,No Gol,,Loro,,3v2
Palla recuperata (24),1:11:47.066,0:00:10.000,06/01/2025,Palla recuperata,bara,ricky,nic,scanta,digao,digao,Costruzione,0,,,
Palla persa (27),1:11:57.666,0:00:10.000,06/01/2025,Palla persa,bara,ricky,nic,scanta,digao,nic,Fuori,0,,,
Ammonizione (4),1:12:04.133,0:00:10.000,06/01/2025,Ammonizione,bara,ricky,nic,scanta,digao,,,,Noi,,
Laterale (51),1:12:22.766,0:00:07.000,06/01/2025,Laterale,bara,ricky,nic,scanta,digao,,,1,Noi,,
Laterale (52),1:12:58.133,0:00:07.000,06/01/2025,Laterale,bara,ricky,nic,scanta,digao,,,1,Loro,,
Palla persa (28),1:13:08.566,0:00:10.000,06/01/2025,Palla persa,bara,ricky,nic,scanta,digao,digao,Costruzione,6,,,
Tiro (27),1:13:15.766,0:00:07.000,06/01/2025,Tiro,bara,ricky,nic,scanta,digao,,Parata,8,Loro,Dx,
Tiro (28),1:13:55.700,0:00:07.000,06/01/2025,Tiro,bara,ricky,nic,scanta,digao,digao,Parata,2,Noi,Dx,
Laterale (53),1:14:12.200,0:00:07.000,06/01/2025,Laterale,bara,ricky,nic,scanta,digao,,,6,Noi,,
Laterale (54),1:14:27.500,0:00:07.000,06/01/2025,Laterale,bara,ricky,nic,scanta,digao,,,6,Noi,,
Palla persa (29),1:14:31.333,0:00:10.000,06/01/2025,Palla persa,bara,ricky,nic,scanta,digao,scanta,Ripartenza,0,,,
1v1 (2),1:14:33.100,0:00:10.000,06/01/2025,,bara,ricky,nic,scanta,digao,,No Gol,,Loro,,1v1
Palla persa (30),1:14:47.400,0:00:10.000,06/01/2025,Palla persa,bara,ricky,nic,scanta,digao,nic,Fuori,2,,,
Laterale (55),1:14:51.133,0:00:07.000,06/01/2025,Laterale,bara,ricky,nic,scanta,digao,,,0,Loro,,
Palla recuperata (25),1:15:03.033,0:00:10.000,06/01/2025,Palla recuperata,bara,ricky,nic,scanta,digao,ricky,Costruzione,1,,,
Laterale (56),1:15:32.600,0:00:07.000,06/01/2025,Laterale,bara,ricky,nic,digao,diego jr,,,6,Noi,,
Tiro (29),1:15:33.800,0:00:07.000,06/01/2025,Tiro,bara,ricky,nic,digao,diego jr,nic,Ribattuto,2,Noi,Sx,
Tiro (30),1:15:48.233,0:00:07.000,06/01/2025,Tiro,bara,ricky,nic,digao,diego jr,,Ribattuto,2,Loro,Dx,
Laterale (57),1:15:53.966,0:00:07.000,06/01/2025,Laterale,bara,ricky,nic,digao,diego jr,,,3,Loro,,
Laterale (58),1:16:08.866,0:00:07.000,06/01/2025,Laterale,bara,ricky,nic,digao,diego jr,,,,Noi,,
