Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Chi,Esito,Field Position,Casella di gruppo,Squadra,Piede
Laterale (28),0:59:02.500,0:00:07.000,04/01/2025,Laterale,giovi,fabri,ricky,scanta,,,,0,,Loro,
Lancio (8),0:59:08.266,0:00:10.000,04/01/2025,Lancio,giovi,fabri,ricky,scanta,,,Fuori,,,Noi,
Fine primo tempo (1),0:59:14.166,0:00:10.000,04/01/2025,Fine primo tempo,giovi,fabri,ricky,scanta,,,,,,,
Inizio (1),1:10:32.666,0:00:10.000,04/01/2025,Inizio,giovi,scanta,ricky,fabri,,,,,,,
4v3 (2),1:10:47.300,0:00:10.000,04/01/2025,4v3,giovi,scanta,ricky,fabri,,,,,,Loro,
Lancio (9),1:10:58.066,0:00:10.000,04/01/2025,Lancio,giovi,scanta,ricky,fabri,,,Fuori,,,Noi,
4v3 (3),1:11:14.766,0:00:10.000,04/01/2025,4v3,giovi,scanta,ricky,fabri,,,,,,Loro,
Tiro (31),1:11:17.533,0:00:07.000,04/01/2025,Tiro,giovi,scanta,ricky,fabri,,,Parata,2,,Loro,Sx
Laterale (29),1:11:32.333,0:00:07.000,04/01/2025,Laterale,giovi,scanta,ricky,fabri,,,,0,,Loro,
4v3 (4),1:11:36.866,0:00:10.000,04/01/2025,4v3,giovi,scanta,ricky,fabri,,,,,,Loro,
4v3 (5),1:12:11.566,0:00:10.000,04/01/2025,4v3,giovi,scanta,ricky,fabri,,,,,,Loro,
Tiro (32),1:12:15.066,0:00:07.000,04/01/2025,Tiro,giovi,scanta,ricky,fabri,,,Parata,9,,Loro,Dx
Lancio (10),1:12:46.900,0:00:10.000,04/01/2025,Lancio,giovi,scanta,ricky,fabri,,,Fuori,,,Noi,
Tiro (33),1:13:05.566,0:00:07.000,04/01/2025,Tiro,giovi,scanta,ricky,fabri,deba,,Parata,8,,Loro,Dx
Laterale (30),1:13:22.600,0:00:07.000,04/01/2025,Laterale,giovi,scanta,ricky,fabri,deba,,,0,,Noi,
Laterale (31),1:13:32.700,0:00:07.000,04/01/2025,Laterale,giovi,scanta,ricky,fabri,deba,,,0,,Loro,
Palla recuperata (25),1:13:47.700,0:00:10.000,04/01/2025,Palla recuperata,giovi,scanta,ricky,fabri,deba,fabri,Fuori,1,,,
Laterale (32),1:14:00.500,0:00:07.000,04/01/2025,Laterale,giovi,scanta,ricky,fabri,deba,,,1,,Loro,
Palla recuperata (26),1:14:05.933,0:00:10.000,04/01/2025,Palla recuperata,giovi,scanta,ricky,fabri,deba,mattia,,0,,,
Tiro (34),1:14:10.400,0:00:07.000,04/01/2025,Tiro,giovi,scanta,ricky,fabri,deba,scanta,Parata,8,,Noi,Sx
Palla persa (20),1:14:40.833,0:00:10.000,04/01/2025,Palla persa,giovi,scanta,ricky,fabri,deba,deba,Fuori,4,,,
Angolo (6),1:14:55.166,0:00:08.000,04/01/2025,Angolo,giovi,scanta,ricky,fabri,deba,,,,,Loro,
Tiro (35),1:14:54.300,0:00:07.000,04/01/2025,Tiro,giovi,scanta,ricky,fabri,deba,,Fuori,4,,Loro,Sx
Lancio (11),1:15:07.100,0:00:10.000,04/01/2025,Lancio,giovi,scanta,ricky,fabri,deba,,Fuori,,,Noi,
Palla persa (21),1:15:28.466,0:00:10.000,04/01/2025,Palla persa,giovi,scanta,fabri,deba,mattia,deba,Ripartenza,0,,,
1v1 (2),1:15:32.833,0:00:10.000,04/01/2025,,giovi,scanta,fabri,deba,mattia,,No Gol,,1v1,,
Tiro (36),1:15:35.800,0:00:07.000,04/01/2025,Tiro,giovi,scanta,fabri,deba,mattia,,Parata,6,,Loro,Dx
Tiro (37),1:15:54.000,0:00:07.000,04/01/2025,Tiro,giovi,scanta,fabri,deba,mattia,,Fuori,5,,Loro,Sx
Laterale (33),1:16:22.233,0:00:07.000,04/01/2025,Laterale,giovi,scanta,fabri,deba,mattia,,,1,,Loro,
Palla recuperata (27),1:16:31.800,0:00:10.000,04/01/2025,Palla recuperata,giovi,scanta,fabri,deba,mattia,fabri,,0,,,
Tiro (38),1:16:36.733,0:00:07.000,04/01/2025,Tiro,giovi,scanta,fabri,deba,mattia,,Parata,5,,Loro,Sx
Tiro (39),1:17:04.200,0:00:07.000,04/01/2025,Tiro,giovi,scanta,fabri,mattia,erick,,Parata,8,,Loro,Sx
Lancio (12),1:17:08.600,0:00:10.000,04/01/2025,Lancio,giovi,scanta,fabri,mattia,erick,,,,,Noi,
Tiro (40),1:17:15.200,0:00:07.000,04/01/2025,Tiro,giovi,scanta,digao,fabri,erick,scanta,Fuori,5,,Noi,Dx
Tiro (41),1:17:24.300,0:00:07.000,04/01/2025,Tiro,giovi,scanta,digao,fabri,erick,fabri,Ribattuto,4,,Loro,Dx
Angolo (7),1:17:40.233,0:00:08.000,04/01/2025,Angolo,giovi,erick,ricky,nic,digao,,,,,Loro,
Laterale (34),1:17:46.666,0:00:07.000,04/01/2025,Laterale,giovi,erick,ricky,nic,digao,,,0,,Noi,
Laterale (35),1:17:51.633,0:00:07.000,04/01/2025,Laterale,giovi,erick,ricky,nic,digao,,,0,,Loro,
