Nome,Posizione,Durata,Data,Evento,Portiere,Quartetto,Quartetto,Quartetto,Quartetto,Squadra,Field Position,Esito,Piede,Chi,Casella di gruppo
Tiro (39),0:39:18.480,0:00:07.000,23/01/2025,Tiro,giovi,erick,azza,fabri,diego jr,Noi,3,Parata,Dx,fabri,
Laterale (59),0:39:23.400,0:00:07.000,23/01/2025,Laterale,giovi,erick,azza,fabri,diego jr,Noi,,,,,
Tiro (40),0:39:25.560,0:00:07.000,23/01/2025,Tiro,giovi,erick,azza,fabri,diego jr,Noi,4,Fuori,Sx,erick,
Palla recuperata (9),0:39:37.280,0:00:10.000,23/01/2025,Palla recuperata,giovi,erick,azza,fabri,diego jr,,2,Fuori,,erick,
Laterale (60),0:39:49.880,0:00:07.000,23/01/2025,Laterale,giovi,mattia,azza,fabri,diego jr,Noi,4,,,,
Laterale (61),0:40:41.680,0:00:07.000,23/01/2025,Laterale,giovi,mattia,azza,fabri,diego jr,Loro,0,,,,
Integrazione portier (5),0:40:46.760,0:00:10.000,23/01/2025,Integrazione portier,giovi,mattia,ricky,zanna,diego jr,Loro,,Intercetto,,,
Laterale (62),0:40:56.480,0:00:07.000,23/01/2025,Laterale,giovi,mattia,ricky,zanna,diego jr,Noi,6,,,,
Angolo (14),0:41:11.720,0:00:08.000,23/01/2025,Angolo,giovi,mattia,ricky,zanna,diego jr,Noi,,,,,
Tiro (41),0:41:15.520,0:00:07.000,23/01/2025,Tiro,giovi,mattia,ricky,zanna,diego jr,Noi,6,Parata,Dx,zanna,
Palla persa (9),0:41:22.520,0:00:10.000,23/01/2025,Palla persa,giovi,mattia,ricky,zanna,diego jr,,1,Fuori,,mattia,
Angolo (15),0:41:42.280,0:00:08.000,23/01/2025,Angolo,giovi,mattia,ricky,zanna,diego jr,Loro,,,,,
Tiro (42),0:41:43.120,0:00:07.000,23/01/2025,Tiro,giovi,mattia,ricky,zanna,diego jr,Loro,3,Ribattuto,Dx,,
Tiro (43),0:42:01.200,0:00:07.000,23/01/2025,Tiro,giovi,mattia,ricky,zanna,diego jr,Noi,7,Gol,Sx,mattia,
Gol (1),0:42:01.200,0:00:07.000,23/01/2025,Gol,giovi,mattia,ricky,zanna,diego jr,Noi,7,,Sx,mattia,
Inizio avversario (1),0:42:32.480,0:00:10.000,23/01/2025,Inizio avversario,giovi,mattia,ricky,zanna,diego jr,,,,,,
Lancio (11),0:42:45.640,0:00:10.000,23/01/2025,Lancio,giovi,diego jr,zanna,mattia,ricky,Noi,,Fuori,,,
Laterale (63),0:42:56.640,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,zanna,mattia,ricky,Loro,0,,,,
Palla persa (10),0:43:14.080,0:00:10.000,23/01/2025,Palla persa,giovi,diego jr,zanna,mattia,ricky,,6,Fuori,,mattia,
Laterale (64),0:43:39.160,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,zanna,ricky,nico estratti,Loro,0,,,,
Fallo (6),0:43:52.480,0:00:04.000,23/01/2025,Fallo,giovi,diego jr,zanna,ricky,nico estratti,Loro,,,,,
Ammonizione (1),0:43:58.960,0:00:10.000,23/01/2025,Ammonizione,giovi,diego jr,zanna,ricky,nico estratti,Loro,,,,,
Punizione (6),0:45:23.680,0:00:06.000,23/01/2025,Punizione,giovi,diego jr,zanna,ricky,nico estratti,Noi,2,Ribattuto,Dx,fabri,
Laterale (65),0:45:31.640,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,zanna,ricky,nico estratti,Noi,0,,,,
Palla persa (11),0:45:46.040,0:00:10.000,23/01/2025,Palla persa,giovi,diego jr,zanna,ricky,nico estratti,,0,Fuori,,,
Fallo (7),0:45:59.840,0:00:04.000,23/01/2025,Fallo,giovi,diego jr,zanna,ricky,nico estratti,Noi,,,,nico estratti,
Punizione (7),0:46:10.600,0:00:06.000,23/01/2025,Punizione,giovi,diego jr,zanna,ricky,nico estratti,Loro,3,Fuori,Dx,,
Fine primo tempo (1),0:46:39.040,0:00:10.000,23/01/2025,Fine primo tempo,giovi,diego jr,zanna,ricky,nico estratti,,,,,,
Inizio avversario (2),0:47:01.840,0:00:10.000,23/01/2025,Inizio avversario,giovi,diego jr,fabri,mattia,ricky,,,,,,
Tiro (44),0:47:03.440,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,mattia,ricky,Loro,0,Parata,Dx,,
Lancio (12),0:47:11.960,0:00:10.000,23/01/2025,Lancio,giovi,diego jr,fabri,mattia,ricky,Noi,,Gol,,,
Gol (2),0:47:16.440,0:00:07.000,23/01/2025,Gol,giovi,diego jr,fabri,mattia,ricky,Noi,7,Gol,Dx,ricky,
Inizio avversario (3),0:47:43.880,0:00:10.000,23/01/2025,Inizio avversario,giovi,diego jr,fabri,mattia,ricky,,,,,,
Tiro (45),0:47:45.000,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,mattia,ricky,Loro,0,Ribattuto,,,
Tiro (46),0:47:54.800,0:00:07.000,23/01/2025,Tiro,giovi,diego jr,fabri,mattia,ricky,Loro,7,Parata,Dx,,
Laterale (66),0:48:03.920,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Loro,4,,,,
Laterale (67),0:48:29.120,0:00:07.000,23/01/2025,Laterale,giovi,diego jr,fabri,mattia,ricky,Loro,0,,,,
Integrazione portier (6),0:48:32.200,0:00:10.000,23/01/2025,Integrazione portier,giovi,diego jr,fabri,mattia,ricky,Loro,,Intercetto,,,
